free_text,label_id
Em được làm fan cứng luôn rồi nè : red_heart : reaction quá hay quá cute coi mấy giờ này quá hợp_lí = ] ] ],0
Đúng là bọn mắt híp lò_xo thụt : pacman : ery_happy : bên việt nam tao cái này ra cách đây 10 năm rồi và bọn tao gọi là cái_lồn : pacman : ery_happy :,2
Đậu_Văn Cường giờ giống thằng sida hơn à,0
CÔN_ĐỒ CỤC_SÚC VÔ NHÂN_TÍNH ĐỀ NGHI VNNHÀ NƯỚC VN BAN THƯỞNG .,2
Từ lý_thuyết đến thực_hành là cả 1 câu_chuyện dài : rolling_on_the_floor_laughing :,0
Coronavirus is manmade,0
Đố chúng_mày nhận ra ai,0
Lúp lúp như chó .,1
: smiling_face_with_hearts : : smiling_face_with_hearts : : smiling_face_with_hearts :,0
"Thế_mà mình nói mấy thằng bắc kì , bọn đó lại bâu vô nói mình phân biệtD",2
"Được anh ưi , lâu rồi không nghe_NEG phúc_NEG địt_NEG rap : _NEG rolling_on_the_floor_laughing :",0
Cắt chó trẻ trâu bớt thui mà : face_with_tears_of_joy : : face_with_tears_of_joy : : face_with_tears_of_joy :,0
Nghe rất vô_lí nhưng cực_kì thuyết_phục,0
"chán ghê không có_NEG pé_NEG 2_NEG mới_NEG máu được , hâhha",0
sao tao gửi được bây,0
thế đấylàm gì bọn nóbọn nó có quyền nên làm gì chả được : _NEG pacman : _NEG,0
Loại này chó dựa cột thôi chứ độ thế_nào,2
Thuong quá đi,0
Dạy bơi_chó cá . Bơi thì đương_nhiên nó bơi được vì nó là cá . Làm_sao chó nó sống được mới là điều người dân đang quan_tâm .,1
Ủa chứ bữa xin_lỗi khóc tế om xòm mà giờ chửi nữa rồi bó_tay con này hỗn quá,2
Bamtp chạy ngay ddi : pacman : ery_happy :,0
Cứ đăng cái ảnh 2 bố con là y_như_rằng bị đổi,0
"Dàn Táo năm nay làm chương_trình TÁO_QUÂN VI HÀNH nhé mn , phát_sóng 9h tối 23 Tết trên VTV3 : pacman : ery_happy :",0
Thật chán với chế_độ quản_lý dân_sinh,2
Đời vô thường lắmsống phải tu tâm tích đức cô oikhẩu nghiệp quá cô ơi,0
"có ai biết làm cách nào để tìm lại được , đồng_đội , đồng_chí , hay bạn_hữu cùng đơn_vị của người trong bức ảnh không .",0
Sống chậm lại các mày ?,0
Chương_trình quảng khôn_lỏi xin được bắt_đầu,0
Nguyễn_Hữu_Nhân đớp cả của cháu . Thứ mắc dạy,2
Nhậu cái địt_mẹ chúng_mày lũ chó hại dân hại nước,2
Thế_Vinh_Yasbaga tối_cao,0
mài có óc để suy_nghĩ không add ? _NEG cái_NEG đồng_NEG băng_NEG đó mài tính đào hồ bnhiu chó đủ hả thằng_ngu ?,2
chuẩn,0
